Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Past temperatures prove CO2 cannot drive global warming,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.34PQ6M7,Misleading,2024-04-24 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSk0-sBEJuJtNp6tdPzgx6lj6iTzOAm5leVztLFttpGeLFydlYE,"['Диоксид углерода', 'Глобальное потепление', 'Температура']"
"Higher temps are only the result of urban development, not global warming",USA Today,https://www.usatoday.com/story/news/factcheck/2024/05/15/urban-heat-islands-global-warming-fact-check/73676720007/,Missing Context,2024-05-15 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ-mieQqv-nO2Z9jiS5FdFby6254QvBvG-W46oR05gYO4yfMSWl,"['Изменение климата', 'Погода', 'Градостроительство']"
Satellite image time-lapse of coastline shows climate change isn't real,USA Today,https://www.usatoday.com/story/news/factcheck/2024/04/29/no-satellite-timelapse-doesnt-disprove-climate-change-fact-check/73285056007/,False,2024-04-29 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQLg24qGNA-YSIu5lhp1mVN272clsPbNWdJN3WW3fpg0MaAfiWM,"['Изменение климата', 'Климат', 'Замедленная киносъёмка', 'Искусственный спутник', 'Образ', 'Побережье', 'Время', 'Спутниковая фотосъёмка']"
Climate scientists disagree about how much warming is associated with our emissions and whether this warming is larger than natural climate variability from the sun and volcanic eruptions,Climate Feedback,https://climatefeedback.org/claimreview/no-evidence-significant-influence-volcanoes-solar-variability-on-recent-climate-change-contrary-judith-curry-claims-prageru-video/,Misleading,2024-04-26 07:00:00,,"['Изменение климата', 'Климат', 'Вулкан', 'Учёный', 'Извержение вулкана', 'Солнце']"
Post implies old temps on Staten Island show humans don't cause warming,USA Today,https://www.usatoday.com/story/news/factcheck/2024/04/26/staten-island-temperature-global-warming-fact-check/73308373007/,Missing Context,2024-04-26 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSZXwsH7HahajbZYOu_k0cL76BSNtqfLvdWlt-dFlW04CvyXGBR,"['Изменение климата', 'Статен-Айленд', 'Человек', 'Погода']"
Ice core data shows CO2 does not cause global temperature changes,USA Today,https://www.usatoday.com/story/news/factcheck/2024/04/11/ice-cores-global-warming-co2/72565896007/,False,2024-04-11 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTc5LWYP9mEob9b2g7-hYtumzrDko-rjJ9OhmjzCW3DzqCcNQEb,"['Ледяные керны', 'Диоксид углерода', 'Лёд', 'Температура', 'глобальный температурный рекорд', 'Данные']"
"Human-contributed CO2 is .0016% of atmosphere, so can't spur climate change",USA Today,https://www.usatoday.com/story/news/factcheck/2024/03/11/co2-atmosphere-percentage-global-warming/72858354007/,False,2024-03-11 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTpichdh1HzSclp6VbKzS7yk-4qQJQitAlvxEmTMclVNqken4GB,"['Диоксид углерода', 'Глобальное потепление', 'Атмосфера', 'Климат', 'Человек']"
El Niño is responsible for record warming in 2023,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.34MV88M,Misleading,2024-04-03 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgpMEszf7PO-zhnzDIrOf3bJD0vK4PW_pvzYNZ3-oteJO8zCqX,"['Изменение климата', '2023']"
"Ice cores from Greenland show no significant warming, casting doubt on the climate change theory",Climate Feedback,https://climatefeedback.org/claimreview/data-shows-temperatures-rising-greenland-world-current-global-warming-driven-co2-not-solar-activity/,Inaccurate,2024-03-25 07:00:00,,"['Изменение климата', 'Ледяные керны', 'Климат', 'Лёд', 'Теория']"
A weather forecaster said global warming is a scam designed to usher in a global communist takeover.,Full Fact,https://fullfact.org/online/weather-forecast-global-warming/,"Incorrect. The subtitles on the video are wrong, and may be intended as a joke. The presenter actually discusses the weather conditions across Mexico and in the city of Guadalajara.",2024-03-21 07:00:00,,"['Погода', 'Изменение климата', 'Телевизионный метеоролог', 'Коммунизм']"
Changes in Antarctic sea ice coverage shows global warming is not happening,USA Today,https://www.usatoday.com/story/news/factcheck/2024/02/20/antarctic-sea-ice-extent-global-warming-real/72654412007/,False,2024-02-20 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS4i-COwsANeqxyz_JSggcS3GsS--3VdVEABzLQFk6hZGBYtTH5,"['Морской лёд', 'Антарктический морской лёд', 'Глобальное потепление', 'Антарктика', 'Лёд', 'Море']"
The Milankovitch cycles are driving post-Industrial revolution global warming.,Australian Associated Press,https://www.aap.com.au/factcheck/no-natural-cycles-cannot-explain-post-industrial-revolution-warming/,False. The current rate of warming is faster than any Milankovitch change could produce.,2024-03-05 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTqelRgdvg9fchVnQPK6QYzi4wxxyADMGmqQHoh-hMKFuGG7ZlD,"['Изменение климата', 'Циклы Миланковича', 'Промышленная революция', 'Милутин Миланкович']"
Climate Change Is A Scam !!,Fact Crescendo Sri Lanka,https://srilanka.factcrescendo.com/english/misleading-claims-are-being-circulated-targeting-wef-and-the-significant-nature-of-global-climate-change/,Misleading,2024-03-05 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTs4nF3Q74pj8es9mSHi8CXRjto90G_N62a3Zkzmpu7Ej9-K414,"['Изменение климата', 'Климат']"
All Climate Change Predictions Are Wrong !!,Fact Crescendo Sri Lanka,https://srilanka.factcrescendo.com/english/unpacking-the-truth-behind-climate-change-predictions-and-carbon-taxes/,Missing Context,2024-02-22 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9IMFIjLh3qavptnTjewyPOHSGjrIwXoY8aX8jT3jseIyv0VBy,"['Изменение климата', 'Климат', 'Предвидение']"
Climate change is a 'hoax' because CO2 is only 0.04% of the atmosphere,USA Today,https://www.usatoday.com/story/news/factcheck/2024/02/21/co2-percentage-used-to-mislead-on-global-warming-fact-check/72539359007/,False,2024-02-21 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ57x3h49MRd8_ypg9kiQmdrOKqgFb9IezHg4lfvmwuT42-RsQF,"['Изменение климата', 'Диоксид углерода', 'Климат', 'Атмосфера']"
Post implies modern climate change is caused by the sun,USA Today,https://www.usatoday.com/story/news/factcheck/2024/02/15/sun-impact-global-warming-climate-change-fact-check/72600226007/,Missing Context,2024-02-15 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQIXFQjxKnDGnZh8lGXY11HG65RwzvT_bVK0iSxKsn0MhQD7AKR,"['Изменение климата', 'Климат', 'Солнце']"
"Carbon dioxide does not cause global warming, scientists are 90% sure it’s the Sun; The climate problems blamed on carbon dioxide (such as ocean acidification and negative impacts on polar bears) are not real",Climate Feedback,https://climatefeedback.org/claimreview/evidence-greenhouse-gasses-cause-global-warming-denied-willie-soon-tucker-carlson-interview-mass-social-media-climate-misinformation/,Incorrect,2024-01-22 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTEColhPBNLMkx4Q-WoS69_Qg8LGJa2CpCw3dw7gMQVCoKI4-Cv,"['Изменение климата', 'Учёный', 'Диоксид углерода', 'Океан', 'Закисление океана', 'Белый медведь', 'Солнце']"
"""We knew 100 years ago what would happen by burning fossil fuels.""",PolitiFact,https://www.politifact.com/article/2024/jan/21/did-the-world-know-about-global-warming-a-c/,"Some was known, but not fully",2024-01-21 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS347FxyU7JAmSzwc6gcTdZjdpCfStKsymof6qRg7F9iwWOy9bn,"['Топливо', 'Манчестер', 'Нью-Хэмпшир', 'Ископаемое топливо']"
No one has shown that human CO2 emissions drive global warming,USA Today,https://www.usatoday.com/story/news/factcheck/2023/12/20/humans-cause-global-warming-fact-check/71714659007/,False,2023-12-20 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRIDWDOcibsTlzUPd5r5ohaA3xpbwz0pKB27h6oQVwQ8rFkXLpi,"['Глобальное потепление', 'Человек', 'Диоксид углерода']"
Most US temperature sensors are near airport runways,USA Today,https://www.usatoday.com/story/news/factcheck/2024/01/08/no-global-warming-isnt-the-result-of-manipulated-data-fact-check/71875455007/,False,2024-01-08 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRiDYrjIndhJ_8GCGMXbX9Vj3s1jXgvX7CEGUbI6EDwBPDncs5M,"['Температура', 'Аэропорт', 'Датчик', 'Взлётно-посадочная полоса', 'Соединенные Штаты Америки']"
